FID,id_estacio,Direccion,Aproximaci,Lat_Y,Lon_X,CreationDate,Creator,EditDate,Editor,x,y
83,172,Ronda Tamarguillo,Alfonso Laso de la Vega,37.36713,-5.971252,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664716.699999999,4490404.3
84,42,Plaza Cronista,Calle Divina Pastora,37.398811,-5.989523,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666750.699999999,4494842.6
85,173,Ronda Tamarguillo,Avenida de la Paz,37.370045,-5.968101,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664366,4490812.6
86,43,Ronda Capuchinos,Calle Maestro Quiroga,37.399139,-5.982737,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665995.199999999,4494888.6
87,44,Ronda Capuchinos,Calle Corinto,37.398323,-5.981774,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665888,4494774.3
88,174,Ronda Tamarguillo,Marqués de Pickman,37.380611,-5.960573,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-663528,4492292.7
89,45,Carretera de Carmona,Calle de Francisco de Ariño,37.39991,-5.977796,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665445.199999999,4494996.6
90,175,Ronda Tamarguillo,Plaza Ruperto Chapí,37.377731,-5.960825,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-663556,4491889.2
91,46,Plaza del Pelicano,Calle Enladrillada,37.39761,-5.984116,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666148.699999999,4494674.4
92,176,Avenida de la Ciudad Jardín,Calle Profesor Braña,37.37756,-5.966566,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664195.100000001,4491865.3
93,47,Calle Hiniesta,Convento Santa Isabel,37.396458,-5.987466,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666521.699999999,4494512.9
94,48,Calle Churruca,Calle González Cuadrado,37.397221,-5.991182,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666935.300000001,4494619.9
95,177,Avenida Alcalde Juan Fernández,Calle Profesor Buenaventura,37.373112,-5.969032,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664469.600000001,4491242.2
